#,Document Number,Posting Date,Customer/Vendor Code,Customer/Vendor Name,Customer/Vendor Name,Document Currency,Check Amount,Transfer Amount,Cash Amount,Reference 1,Reference 2,Counter Reference,Remarks,Journal Remarks,Journal Remarks
120,361696,05.01.2023,UCR0053,RONG FA HAO,RONG FA HAO,SGD,0,0,145,36-1696,,,4-Jan,4-Jan,4-Jan
121,361697,05.01.2023,UCS0046,SONG JI MIXED VEGTABLES RICE,SONG JI MIXED VEGTABLES RICE,SGD,0,0,225.3,36-1697,,,4-Jan,4-Jan,4-Jan
122,361698,05.01.2023,UCL0045,LEE FOOD PTE LTD,LEE FOOD PTE LTD,SGD,0,0,"2,602.30",36-1698,,,4-Jan,4-Jan,4-Jan
123,361699,05.01.2023,UCW0030,HOWLERS PTE LTD,HOWLERS PTE LTD,SGD,0,0,117.5,36-1699,,,4/1 23101395,4/1 23101395,4/1 23101395
124,361700,05.01.2023,UCF0111,FRESH AND EASY PTE LTD (JURONG),FRESH AND EASY PTE LTD (JURONG),SGD,0,0,229.6,36-1700,,,4-Jan,4-Jan,4-Jan
125,361701,05.01.2023,UCB0127,BOON LAY MIXED VEGETABLE RICE,BOON LAY MIXED VEGETABLE RICE,SGD,0,0,176.4,36-1701,,,4-Jan,4-Jan,4-Jan
126,361702,05.01.2023,UCL0185,LOYANG WAY BIG PRAWN NOODLES PTE LTD,LOYANG WAY BIG PRAWN NOODLES PTE LTD,SGD,0,0,41.4,36-1702,,,4-Jan,4-Jan,4-Jan
127,361703,05.01.2023,UCM0183,MALA HOT POT (BUKIT BATOK),MALA HOT POT (BUKIT BATOK),SGD,0,0,135,36-1703,,,4-Jan,4-Jan,4-Jan
128,361704,05.01.2023,UCC0109,CHUAN HAI KOPITIAM PTE LTD,CHUAN HAI KOPITIAM PTE LTD,SGD,0,0,194,36-1704,,,4-Jan,4-Jan,4-Jan
129,361705,05.01.2023,UCH0024,HOKIEN MIAN,HOKIEN MIAN,SGD,0,0,81,36-1705,,,4-Jan,4-Jan,4-Jan
130,361706,05.01.2023,UCF0191,FRESH PICK SUPERMARKET,FRESH PICK SUPERMARKET,SGD,0,0,201.15,36-1706,,,4/1 CN$5.14,4/1 CN$5.14,4/1 CN$5.14
131,361707,05.01.2023,UCC0112,CASH (HAOYI),CASH (HAOYI),SGD,0,0,59.7,36-1707,,,30-Nov,30-Nov,30-Nov
132,361708,05.01.2023,UCY0144,YAN XIA CHUAN TONG MIAN JIA,YAN XIA CHUAN TONG MIAN JIA,SGD,0,0,128.5,36-1708,,,4/1 23101225,4/1 23101225,4/1 23101225
133,361709,05.01.2023,UCM0286,MS LEONG PHENG FUN,MS LEONG PHENG FUN,SGD,0,0,84.2,36-1709,,,4-Jan,4-Jan,4-Jan
134,361710,05.01.2023,UCC0092,DONG BEI CUISINE,DONG BEI CUISINE,SGD,0,0,63.9,36-1710,,,4-Jan,4-Jan,4-Jan
