No,Document Number,Document Type,Posting Date,Item No.,Item/Service Description,Quantity,Price,Row Total
908,5857,I,10.11.2022,PBEL10-02,PORK BELLY CUBE 7MM X 7MM 4kg/pkt,136,5.3,720.8
909,5857,I,10.11.2022,PCOS04-04,PORK COLLAR SLICED 2-3mm 2kg/pkt,40,4.3,172
910,5857,I,10.11.2022,CBLL09-03,CHICKEN CUBE 1CMX1CM 2kgX6pkt,12,4.2,50.4
911,5857,I,10.11.2022,PBEL10,PORK BELLY CUBE _ 01 2Kgx10Pkt,206,5.3,"1,091.80"
912,5858,I,11.11.2022,PSOF02,PORK SOFTBONE CUT A 5KG/PKT,945,3.9,"3,685.50"
913,5858,I,11.11.2022,PHCU01,PORK HOCK CUBE A 5KGX2PKT/CTNS,445,2.5,"1,112.50"
914,5858,I,11.11.2022,PHOC12,PORK HOCK S2 350-400gm 5KGX2PKT/CTNS,420,2.6,"1,092.00"
915,5858,I,11.11.2022,PHCU02,PORK HOCK CUBE AA 5Kg/Pkt,10,2.6,26
916,5858,I,11.11.2022,PHOC06,PORK HOCK C2 (15-16pcs) 13.61KG/CTNS,4,35.5,142
917,5858,I,11.11.2022,PS-02,PORK LEG SLICED 2KGX6PKT/CTNS,40,3.7,148
918,5858,I,11.11.2022,PS-01,PORK LEG SLICED A 2kgX5pkt,200,3.4,680
919,5858,I,11.11.2022,PS-02,PORK LEG SLICED 2KGX6PKT/CTNS,654,3.7,"2,419.80"
920,5858,I,11.11.2022,PS-04,PORK LEG SLICED 8mm 2kgX5pkt,74,3.2,236.8
921,5858,I,11.11.2022,PM-03,PORK- MINCED PORK AA 6X2KG/CTNS,182,3.3,600.6
922,5858,I,11.11.2022,PBEL21-03,2KG PORK BELLY SLICED 2.5' X 4MM,204,5.3,"1,081.20"
923,5858,I,11.11.2022,PTRI04,PORK BELLY STRIPES 3X5KG/CTNS,15,3,45
924,5858,I,11.11.2022,PBEL10,PORK BELLY CUBE _ 01 2Kgx10Pkt,10,5.3,53
925,5858,I,11.11.2022,BFC003,BEEF FLOSS 2KG/PKT,46,7.8,358.8
926,5858,I,11.11.2022,PCOS04-04,PORK COLLAR SLICED 2-3mm 2kg/pkt,240,4.3,"1,032.00"
927,5858,I,11.11.2022,PBEL21-08,PORK BELLY SLICED 3mm 2kgX5pkt,368,5.3,"1,950.40"
928,5858,I,11.11.2022,PTRI04,PORK BELLY STRIPES 3X5KG/CTNS,20,3,60
929,5858,I,11.11.2022,PBEL10,PORK BELLY CUBE _ 01 2Kgx10Pkt,44,5.3,233.2
930,5858,I,11.11.2022,PSPA01,PORK- SPARERIB CUT 2''-2.5'' 5KGX2PKT/CTNS,230,5.3,"1,219.00"
931,5858,I,11.11.2022,PSOF02,PORK SOFTBONE CUT A 5KG/PKT,45,3.9,175.5
932,5858,I,11.11.2022,PRIB06,PORK- SPARERIB CUT 1 '' X 1 '' 5KGX2PKT/CTNS,15,5.5,82.5
933,5858,I,11.11.2022,PBEL21-08,PORK BELLY SLICED 3mm 2kgX5pkt,400,5.3,"2,120.00"
934,5858,I,11.11.2022,PTRI04,PORK BELLY STRIPES 3X5KG/CTNS,20,3,60
935,5858,I,11.11.2022,PBEL10,PORK BELLY CUBE _ 01 2Kgx10Pkt,46,5.3,243.8
936,5858,I,11.11.2022,PBEL10-02,PORK BELLY CUBE 7MM X 7MM 4kg/pkt,132,5.3,699.6
937,5858,I,11.11.2022,CSLI06,CHICKEN SLICED 1CM 2kgX6pkt,144,4.6,662.4
938,5858,I,11.11.2022,PBEL21-08,PORK BELLY SLICED 3mm 2kgX5pkt,400,5.3,"2,120.00"
939,5858,I,11.11.2022,PTRI04,PORK BELLY STRIPES 3X5KG/CTNS,20,3,60
940,5858,I,11.11.2022,PBEL10,PORK BELLY CUBE _ 01 2Kgx10Pkt,46,5.3,243.8
941,5858,I,11.11.2022,PFER03,PORK FERMURBONE CUT 5kgX2pkt,"1,360.00",1.2,"1,632.00"
942,5859,I,12.11.2022,PRIB07,PORK RIBLETS CUT 2 INCH 5KGX2PKT/CTNS,100,4.5,450
943,5859,I,12.11.2022,PRIB08,PORK RIBLETS CUT 2-2 1/2' 5kgX2pkt,320,4.5,"1,440.00"
