item_code,description,purchase_count,avg_price,min_price,median_price,max_price,latest_purchase_price,latest_purchase_date,total_qty,total_pv,num_suppliers
BSL001-03,BEEF STRIPLOIN (BEAUVALLET-BRAZIL),2.0,10.5,10.5,10.5,10.5,10.5,2022-12-07,47.56,499.38,1
BSL001-05,CHILLED BEEF STRIPLOIN (PS NZ SILVERFERN / AUST MIDFIELD)),1.0,19.5,19.5,19.5,19.5,19.5,2022-11-25,18.98,370.11,1
BSP003,BEEF SHORT PLATE BONELESS (USA-IBP),14.0,9.935714285714285,9.5,9.55,10.5,9.5,2022-12-31,4098.95,40626.685,1
BSR002-01,BEEF SHORTRIB BONELESS CHOICE OR HIGHER SWIFT,5.0,45.52,42.8,46.0,48.0,42.8,2022-12-31,107.73,4956.196,2
BSR004-03,BEEF SHORTRIB BONE IN (BEAUVALLET-BRAZIL),2.0,7.8,7.8,7.8,7.8,7.8,2022-12-21,57.58,449.124,1
BSU001-01,BEEF SUKIYAKI (TFP) 400gmX20pkt,2.0,5.6,5.6,5.6,5.6,5.6,2022-10-20,400.0,2240.0,1
BSU001-02,BEEF SUKIYAKI (BUTHER'S RIDGE) 400GMX20PKT,5.0,6.8,6.0,7.0,7.0,7.0,2022-12-17,580.0,4040.0,2
BSU003,BEEF SHABU SHABU (TFP) 400gmX20pkt,3.0,6.400000000000001,6.4,6.4,6.4,6.4,2022-10-20,500.0,3200.0,1
BSU003-02,BEEF SHABU SHABU (BUTHER'S RIDGE) 400GMX20PKT,3.0,7.0,7.0,7.0,7.0,7.0,2022-12-13,600.0,4200.0,1
BTA001,BEEF TAIL 500gmX20pkt,2.0,4.5,4.5,4.5,4.5,4.5,2022-10-29,80.0,360.0,1
BTA004,BEEF TAIL,1.0,7.3,7.3,7.3,7.3,7.3,2022-12-29,125.67,917.391,1
BTL002,BEEF TENDERLOIN (QUALITY BEEF-BRAZIL),1.0,17.5,17.5,17.5,17.5,17.5,2022-12-28,133.8,2341.5,1
BTO001,BEEF TONGUE,2.0,11.5,2.0,11.5,21.0,2.0,2022-11-17,35.54,347.34,2
BTO002,BEEF TONGUE SWISS CUT IWP HARVEY,1.0,21.0,21.0,21.0,21.0,21.0,2022-12-05,16.8,352.8,1
BTR001,BEEF TRIPE (NZ-SILVERFERN) 22kg/ctn,9.0,3.388888888888889,3.3,3.3,3.5,3.3,2022-12-27,3520.0,11880.0,1
BTR003-02,BEEF TRIPE HONEYCOMB (QUALITY/MINERVA),4.0,7.325,6.5,6.75,9.3,6.5,2022-10-29,1299.31,9710.805,3
CBLL01-01,CHICKEN BONELESS LEG 200gmUP (SEARA ) 2kgx6pkt,1.0,2.8,2.8,2.8,2.8,2.8,2022-11-19,840.0,2352.0,1
CBLL01-02,CHICKEN BONELESS LEG 200gmUP (AVIVAR-BRAZIL) 2kgX6pkt,7.0,3.364285714285714,2.47,3.0,4.18,2.47,2022-12-29,110568.0,405786.0,5
CBLS05,CHICKEN BONELESS SKINLESS LEG (MULTI-BRAZIL) 2kgX6pkt,6.0,4.316666666666667,4.3,4.3,4.4,4.3,2022-12-12,2040.0,8796.0,3
CBON01,CHICKEN BONE,22.0,2.7490909090909095,2.5,2.5,3.56,2.5,2022-12-25,2626.0,7116.39,2
CBSL07,CHICKEN BREAST (PERDIGAO) 1kgX16pkt,1.0,5.2,5.2,5.2,5.2,5.2,2022-10-10,16.0,83.2,1
CBSL14,CHICKEN BREAST STRIP 250GM X 12PKT (PERDIGAO),9.0,2.3,1.9,1.9,2.8,2.8,2022-12-21,720.0,1692.0,1
CCUB11,CHICKEN CUBE  400GM X 12PKT (PERDIGAO),6.0,3.466666666666667,3.3,3.5,3.5,3.5,2022-12-21,540.0,1866.0,1
CDRU02,CHICKEN DRUMSTICK TYSON 3X5KG/CTNS,8.0,2.6,2.6,2.6,2.6,2.6,2022-12-19,2505.0,6513.0,1
CDRU04,CHICKEN DRUMSTICK (WAYNE FARM)15kg/ctn,1.0,34.5,34.5,34.5,34.5,34.5,2022-10-21,20.0,690.0,1
CFAT01,CHICKEN FATS,1.0,4.8,4.8,4.8,4.8,4.8,2022-10-07,20.0,96.0,1
CFAT02,CHICKEN FATS LIQUID,6.0,4.8,4.8,4.8,4.8,4.8,2022-12-30,420.0,2016.0,1
CFIL02,CHICKEN FILLET (SEARA) 2kgX6pkt,2.0,5.5,5.5,5.5,5.5,5.5,2022-10-14,360.0,1980.0,1
CFIL04,CHICKEN FILLET (ALLIZ) 6X2kg,1.0,4.4,4.4,4.4,4.4,4.4,2022-11-12,24.0,105.60000000000001,1
CFLI001,CHICKEN- FRESH CHICKEN LIVER 2kg/pkt,3.0,2.8333333333333335,2.5,3.0,3.0,2.5,2022-12-09,22.0,65.0,1
CGIZ03,CHICKEN GIZZARD PERDIGAO/ALLIZ 12 X 1KG,8.0,2.6,2.5,2.6,2.7,2.6,2022-11-25,8600.0,21779.2,4
CHIF002,CHICKEN- FRESH CHICKEN (KG) / PULLET (M),1.0,8.24,8.24,8.24,8.24,8.24,2022-12-23,1.7,14.008,1
